window_label,window_start_index,window_stop_index,time0,time1,interval_count,omega0,omega1,delta_omega,relative_delta_omega,S0_all_positive,S1_all_positive,delta_S_all_positive,relative_delta_S,A0_positive_point_count_proxy,A1_positive_point_count_proxy,delta_A_proxy,relative_delta_A,N0_active_locmax,N1_active_locmax,delta_N_active_locmax,relative_delta_N,positive_stretch_loss_proxy,loss_to_S_growth,B_patch_negative_proxy0,B_patch_negative_proxy1,delta_B_patch_negative_proxy,relative_delta_B_patch_negative_proxy,B_outside_active_measured,growth_condition,no_expansion_condition,low_loss_proxy_condition,no_B_compensation_condition,growth_without_active_expansion,proxy_REAL_NS_candidate,decisive_REAL_NS_candidate
w1_00_01,0,1,0.04,0.06,1,297.3311316263139,240.63499198850255,-56.69613963781134,-0.19068349596525638,1502915.5593705634,1504167.878030174,1252.3186596105807,0.0008332594947217558,403238.0,403077.0,-161.0,-0.00039926792613791356,14126.0,14186.0,60.0,0.004247486903582048,614739.0545034076,490.880695409079,,,,,False,False,True,False,False,False,False,False
w1_01_02,1,2,0.06,0.08,1,240.63499198850255,223.7373093578171,-16.897682630685438,-0.07022121966157276,1504167.878030174,1509053.5559003092,4885.677870135289,0.003248093475133552,403077.0,402870.0,-207.0,-0.0005135495203149771,14186.0,14214.0,28.0,0.001973776963203158,613092.1851591778,125.4876398844938,,,,,False,False,True,False,False,False,False,False
w1_02_03,2,3,0.08,0.1,1,223.7373093578171,260.3630040232429,36.62569466542581,0.16369954019090896,1509053.5559003092,1513446.7457394695,4393.189839160303,0.0029112219523178572,402870.0,402563.0,-307.0,-0.0007620324174051182,14214.0,14244.0,30.0,0.002110595187842972,616649.4674825087,140.36485789568627,,,,,False,False,True,False,False,False,False,False
w1_03_04,3,4,0.1,0.12,1,260.3630040232429,242.9494541007661,-17.413549922476818,-0.0668818136731987,1513446.7457394695,1516549.717647906,3102.9719084363896,0.0020502683144759605,402563.0,403008.0,445.0,0.001105417040314187,14244.0,14254.0,10.0,0.0007020499859590003,620811.3572134345,200.0699250694364,,,,,False,False,True,False,False,False,False,False
w1_04_05,4,5,0.12,0.14,1,242.9494541007661,347.81452198923074,104.86506788846464,0.43163327234713866,1516549.717647906,1519007.8744144023,2458.156766496366,0.001620887688607299,403008.0,402952.0,-56.0,-0.0001389550579641099,14254.0,14158.0,-96.0,-0.006734951592535429,622033.5020362415,253.0487520219598,,,,,False,False,True,False,False,False,False,False
w1_05_06,5,6,0.14,0.1600000000000001,1,347.81452198923074,260.9477964518059,-86.86672553742483,-0.2497501399326692,1519007.8744144023,1520817.864693473,1809.9902790708002,0.0011915608270092579,402952.0,402793.0,-159.0,-0.00039458794099545355,14158.0,14301.0,143.0,0.0101002966520695,623567.5466888127,344.51430700994445,,,,,False,False,True,False,False,False,False,False
w1_06_07,6,7,0.1600000000000001,0.1800000000000001,1,260.9477964518059,249.5204810561763,-11.42731539562962,-0.04379157651840956,1520817.864693473,1520818.0367824803,0.17208900721743703,1.131555666280408e-07,402793.0,402464.0,-329.0,-0.0008167967169240777,14301.0,14145.0,-156.0,-0.010908328088944829,625667.8652899105,3635722.4404192753,,,,,False,False,True,False,False,False,False,False
w1_07_08,7,8,0.1800000000000001,0.2000000000000001,1,249.5204810561763,260.8772514347436,11.35677037856729,0.04551438154694187,1520818.0367824803,1526489.9652663814,5671.92848390108,0.003729524733873422,402464.0,402645.0,181.0,0.0004497296652619862,14145.0,14190.0,45.0,0.003181336161187699,624209.4321834494,110.05241585030109,,,,,False,False,True,False,False,False,False,False
w1_08_09,8,9,0.2000000000000001,0.2200000000000001,1,260.8772514347436,275.43486493151386,14.557613496770273,0.05580254091419599,1526489.9652663814,1530085.6473564203,3595.6820900388993,0.0023555229132550715,402645.0,402468.0,-177.0,-0.00043959319003092053,14190.0,14178.0,-12.0,-0.0008456659619450317,628308.2195433064,174.73964711282613,,,,,False,False,True,False,False,False,False,False
w1_09_10,9,10,0.2200000000000001,0.2400000000000001,1,275.43486493151386,255.6329131419317,-19.801951789582148,-0.07189341042393399,1530085.6473564203,1530588.8002584074,503.15290198707953,0.0003288396978668439,402468.0,402338.0,-130.0,-0.0003230070465229534,14178.0,14344.0,166.0,0.011708280434475948,631205.2200807761,1254.499810272355,,,,,False,False,True,False,False,False,False,False
w1_10_11,10,11,0.2400000000000001,0.2600000000000002,1,255.6329131419317,320.8315228443977,65.19860970246597,0.25504779060381244,1530588.8002584074,1536504.5740383535,5915.7737799461465,0.003865031404219993,402338.0,402558.0,220.0,0.0005468039310231696,14344.0,14218.0,-126.0,-0.008784160624651422,630962.5174388813,106.65764799488753,,,,,False,False,True,False,False,False,False,False
w1_11_12,11,12,0.2600000000000002,0.2800000000000002,1,320.8315228443977,247.6282613652529,-73.20326147914477,-0.2281672973719859,1536504.5740383535,1537190.1019704218,685.527932068333,0.0004461606842253508,402558.0,402346.0,-212.0,-0.0005266321871630921,14218.0,14278.0,60.0,0.004220002813335209,634812.9667163519,926.0205704544131,,,,,False,False,True,False,False,False,False,False
w1_12_13,12,13,0.2800000000000002,0.3000000000000002,1,247.6282613652529,289.52088750781803,41.89262614256512,0.1691754645111904,1537190.1019704218,1540824.821398042,3634.7194276200607,0.002364521748455806,402346.0,402187.0,-159.0,-0.0003951822560681602,14278.0,14191.0,-87.0,-0.006093290376803474,634245.6600142033,174.49645636870912,,,,,False,False,True,False,False,False,False,False
w1_13_14,13,14,0.3000000000000002,0.3200000000000002,1,289.52088750781803,266.0966907302475,-23.424196777570558,-0.08090675936788162,1540824.821398042,1546757.0670477478,5932.245649705874,0.00385004548688627,402187.0,402377.0,190.0,0.0004724170597259484,14191.0,14155.0,-36.0,-0.0025368191107039673,636392.6184938772,107.2768486121997,,,,,False,False,True,False,False,False,False,False
w2_00_02,0,2,0.04,0.08,2,297.3311316263139,223.7373093578171,-73.59382226849678,-0.24751468797081624,1502915.5593705634,1509053.5559003092,6137.996529745869,0.004084059474583207,403238.0,402870.0,-368.0,-0.0009126124026009453,14126.0,14214.0,88.0,0.006229647458587003,1227831.2396625853,200.03778655010433,,,,,False,False,True,False,False,False,False,False
w2_01_03,1,3,0.06,0.1,2,240.63499198850255,260.3630040232429,19.728012034740374,0.08198313915909192,1504167.878030174,1513446.7457394695,9278.867709295591,0.006168771348479398,403077.0,402563.0,-514.0,-0.0012751905963376724,14186.0,14244.0,58.0,0.004088537995206542,1229741.6526416866,132.53143499499714,,,,,False,False,True,False,False,False,False,False
w2_02_04,2,4,0.08,0.12,2,223.7373093578171,242.9494541007661,19.212144742948993,0.08586920437227356,1509053.5559003092,1516549.717647906,7496.161747596692,0.004967459052919062,402870.0,403008.0,138.0,0.00034254225928959716,14214.0,14254.0,40.0,0.0028141269171239624,1237460.8246959432,165.07925874100562,,,,,False,False,True,False,False,False,False,False
w2_03_05,3,5,0.1,0.14,2,260.3630040232429,347.81452198923074,87.45151796598782,0.3358830425776656,1513446.7457394695,1519007.8744144023,5561.1286749327555,0.003674479257752535,402563.0,402952.0,389.0,0.0009663083790611656,14244.0,14158.0,-86.0,-0.006037629879247402,1242844.859249676,223.48788023048297,,,,,False,False,True,False,False,False,False,False
w2_04_06,4,6,0.12,0.1600000000000001,2,242.9494541007661,260.9477964518059,17.99834235103981,0.07408266224617566,1516549.717647906,1520817.864693473,4268.147045567166,0.0028143799018912827,403008.0,402793.0,-215.0,-0.0005334881689693505,14254.0,14301.0,47.0,0.003297320050512137,1245601.0487250541,291.83648909629693,,,,,False,False,True,False,False,False,False,False
w2_05_07,5,7,0.14,0.1800000000000001,2,347.81452198923074,249.5204810561763,-98.29404093305445,-0.2826047640877338,1519007.8744144023,1520818.0367824803,1810.1623680780176,0.0011916741174076266,402952.0,402464.0,-488.0,-0.0012110623597847883,14158.0,14145.0,-13.0,-0.0009182087865517728,1249235.4119787232,690.1234021924388,,,,,False,False,True,False,False,False,False,False
w2_06_08,6,8,0.1600000000000001,0.2000000000000001,2,260.9477964518059,260.8772514347436,-0.07054501706232941,-0.0002703414936686705,1520817.864693473,1526489.9652663814,5672.100572908297,0.0037296383114565346,402793.0,402645.0,-148.0,-0.0003674343893761808,14301.0,14190.0,-111.0,-0.00776169498636459,1249877.2974733599,220.3552778036341,,,,,False,False,True,False,False,False,False,False
w2_07_09,7,9,0.1800000000000001,0.2200000000000001,2,249.5204810561763,275.43486493151386,25.914383875337563,0.10385674059959542,1520818.0367824803,1530085.6473564203,9267.610573939979,0.0060938326280946834,402464.0,402468.0,4.0,9.938777132861572e-06,14145.0,14178.0,33.0,0.0023329798515376457,1252517.6517267558,135.1500089191024,,,,,False,False,True,False,False,False,False,False
w2_08_10,8,10,0.2000000000000001,0.2400000000000001,2,260.8772514347436,255.6329131419317,-5.244338292811875,-0.02010270448638066,1526489.9652663814,1530588.8002584074,4098.834992025979,0.0026851372005650283,402645.0,402338.0,-307.0,-0.0007624582448558904,14190.0,14344.0,154.0,0.010852713178294573,1259513.4396240828,307.28571461754024,,,,,False,False,True,False,False,False,False,False
